id,"title","description","adress",one,two,three
61,"Prestatieladder socialer ondernemen","De PSO is een meetinstrument. Het meet hoeveel uw bedrijf bijdraagt aan werkgelegenheid voor mensen met een kwetsbare arbeidsmarktpositie ('socialer ondernemen'). Het doel van de ontwikkelpartners is om via toepassing van de PSO meer mensen duurzaam aan het werk te krijgen. Daarom is de PSO ingericht als een prestatieladder met vier niveaus: een aspirant-status en trede 1, 2 en 3. Bedrijven met een PSO-erkenning dragen meer dan gemiddeld bij aan de werkgelegenheid van kwetsbare groepen. Zij doen dat bovendien kwalitatief op een goede manier.","http://www.pso-nederland.nl/online-marktplaats/gemeenten.html",1,0,0
62,"Prestatieladder socialer ondernemen (TNO)","De PSO is een meetinstrument. Het meet hoeveel een bedrijf bijdraagt aan werkgelegenheid voor mensen met een kwetsbare arbeidsmarktpositie ('socialer ondernemen'). Het doel van de ontwikkelpartners is om via toepassing van de PSO meer mensen duurzaam aan het werk te krijgen. Daarom is de PSO ingericht als een prestatieladder met vier niveaus: een aspirant-status en trede 1, 2 en 3.","https://www.tno.nl/media/2119/pso_productblad.pdf",1,0,0
63,"Proefplaatsingen","Een werkgever een periode kosteloos laten bekijken of een werknemer het werk aankan.","http://www.uwv.nl/werkgevers/werknemer-met-uitkering/algemene-regelingen/detail/proefplaatsing",1,0,0
64,"Profijt stage","De Stagemodule van PROFIJT zal gedurende het nieuwe schooljaar 2015 - 2016 worden gelanceerd. In deze module kunnen stageovereenkomsten worden opgeslagen en stageverslagen worden bijgehouden. Tot slot kan er ook een stagefactuur worden gegenereerd.  De stagemodule is bij uitstek het instrument om alle informatie met betrekking tot stage op één plek op te slaan. Gedurende de stageperiode kunnen leerling, docent en stagebegeleider het stageproces van de leerling bijhouden. Tussentijds kunnen stagedoelen gewaardeerd en geëvalueerd worden. Aan het einde van de stageperiode kunnen de stagedoelen worden afgerond en, eventueel met de stageverslagen en een certificaat, naar het portfolio worden verplaatst. ","http://www.profijt.nu/modules/profijt-stage/",1,0,0
65,"Quickscan functiecreatie","Met de Quickscan kan op een snelle manier inzicht kan worden verkregen in de mogelijkheden voor het creëren van arbeidsplaatsen bij een potentiële werkgever. Ten aanzien van het algemeen relatiebeheer moet de quickscan gezien worden als een instrument dat ná een eerste verkoopgesprek kan worden ingezet, maar nog vóór een traject bedrijfsadvies functiecreatie ligt. Hierbij dient de quickscan als brug tussen Maatschappelijk Verantwoord Ondernemen (MVO) en arbeidsparticipatie van mensen met een beperking. De quickscan bestaat uit de scan zelf, een protocool en een rapportage. Daarnaast is er een aantal functieprofielen opgesteld die goed ingezet kunnen worden voor het creëren van de functies. Ter ondersteuning van de functiecreatie is er ook een lijst beschikbaar van werksoorten waaruit een functie kan worden samengesteld. ","http://samenvoordeklant.nl/praktijk/functiecreatie-hoe-doe-je-dat",1,0,0
66,"Regelhulp Premiekortingen en LIV","De regelhulp van de Rijksoverheid helpt werkgevers om vast te stellen of zij recht hebben op een premiekorting en/of het lage-inkomensvoordeel.  Deze regelhulp is te gebruiken voor werknemers die uit een uitkering in dienst zijn gekomen, herplaatste werknemers vanuit de WIA en werknemers die een uurloon hebben tussen de 100% en 120% van het minimumloon. ","http://www.regelhulpenvoorbedrijven.nl/premiekortingen",1,0,0
67,"Scan Functiecreatie","Werkgevers Servicepunt Haaglanden heeft een quickscan ontwikkeld waarmee, op een snelle manier inzicht kan worden verkregen in de mogelijkheden voor het creëren van arbeidsplaatsen bij een potentiële werkgever. De quickscan bestaat uit de scan zelf, een protocool en een rapportage. Daarnaast is er een aantal functieprofielen opgesteld die goed ingezet kunnen worden voor het creëren van de functies. Het betreft profielen voor ondersteunende functies bij de gemeente, op basisscholen en in de profitsector. Ter ondersteuning van de functiecreatie is er ook een lijst beschikbaar van werksoorten waaruit een functie kan worden samengesteld.","http://www.sbcm.nl/producten/creeren-van-werk/producten/functiecreatie.html",1,0,0
68,"Stimuleringspremie gemeente","Sommige gemeenten bieden werkgevers een stimuleringspremie, als zij werknemers aannemen die een uitkering van de gemeente ontvangen. Een gemeente ontvangt bijvoorbeeld een vast bedrag als u de werknemer een contract biedt voor zes maanden.","https://zoek.officielebekendmakingen.nl/gmb-2015-78719.html",1,0,0
69,"Subsidie jobcoach","Een jobcoach begeleidt werknemers met een langdurige ziekte of handicap op hun werkplek. De werknemer krijgt een persoonlijk trainings- of inwerkprogramma en begeleiding op de werkvloer. Aan het eind van een geslaagd programma kan de werknemer zijn werk zelfstandig uitvoeren. De jobcoach blijft bereikbaar wanneer er problemen zijn.","http://www.uwv.nl/werkgevers/werknemer-met-uitkering/algemene-regelingen/detail/interne-jobcoach/aanvragen-subsidie-interne-jobcoach",1,0,0
70,"Subsidieregeling praktijkleren","Met de Subsidieregeling praktijkleren stimuleert het ministerie van Onderwijs, Cultuur en Wetenschap werkgevers om praktijkleerplaatsen en werkleerplaatsen aan te bieden. Rijksdienst voor Ondernemend Nederland (RVO.nl) voert de subsidieregeling uit in opdracht van het ministerie. Tot 2019 stelt het ministerie van Onderwijs, Cultuur en Wetenschap (OCW) jaarlijks € 205 miljoen subsidie beschikbaar. ","http://www.rvo.nl/subsidies-regelingen/subsidieregeling-praktijkleren",1,0,0
71,"Toolkit Transparantie Banenafspraak","Deze toolkit staat in het Gemeentelijk Informatie Portaal (GIP) en bevat informatie die gemeentemedewerkers helpt om in hun arbeidsmarktregio het klantenbestand transparant te maken en te houden. Medewerkers van gemeenten die aangesloten zijn op het UWV-portaal, kunnen voor het transparant maken ook UWV-applicaties Sonar en WBS gebruiken.","http://www.samenvoordeklant.nl/actueel/nieuws/toolkit-transparantie-banenafspraak",1,0,0
72,"Training Arbeidstoeleiding: Van visie naar verandering","Tijdens deze training passeren landelijke ontwikkelingen, veranderende wet- en regelgeving, kansrijke initiatieven en projecten, arbeidsmarktontwikkelingen en goede voorbeelden uit de onderwijspraktijk de revue. Op basis van deze informatie is het mogelijk om tijdig en verantwoord de koers te kunnen bepalen met een schooleigen visie op arbeidstoeleiding.","http://www.edunova.nl/training/aanbod-aanmelding/stagebegeleiding-de-7-praktische-handreikingen/",1,0,0
73,"Training praktijkopleider","Het platform training praktijkopleider biedt mogelijkheden om in eigen tempo en zelf gekozen tijdstippen en plaatsen de kennis- en vaardigheden van de praktijkopleider verder te ontwikkelen. Het platform praktijkopleider is voor praktijkopleiders in de handel gratis te benutten.","http://trainingpraktijkopleider.nl/",1,0,0
74,"Veilig op Stage!","'Veilig op Stage!' is een lespakket van Tutorial Opleidingen & Advies. De leerlingen werken in het kader van een fictieve stage aan opdrachten waarin verschillende onderwerpen geïntegreerd zijn verwerkt. Vanuit de opdrachten verkennen ze de bijbehorende theorie. Een spel biedt vervolgens de mogelijkheid om de theorie in een competitieve context te verwerken.Tot slot kunnen de leerlingen via een elektronische leeromgeving een examentraining doen. Deze examentraining bereidt hen voor op het examen waarmee het lespakket Veilig op Stage!' wordt afgesloten en waarmee zij het certificaat 'Veilig op Stage!' kunnen behalen. ","http://www.veiligopstage.nl/",1,0,0
75,"Vergoeding voor het aanpassen van de werkplek","Neemt of heeft u een werknemer in dienst met een ziekte of handicap? En maakt u extra kosten om zijn werk mogelijk te maken? Dan kunt u een vergoeding aanvragen voor niet-meeneembare aanpassingen op de werkplek of het bedrijf. Uw werknemer kan zelf een vergoeding voor meeneembare hulpmiddelen aanvragen.","http://www.uwv.nl/werkgevers/werknemer-met-uitkering/algemene-regelingen/detail/vergoeding-voorzieningen-werkgever",1,0,0
76,"Werkgeversbenadering in 7 stappen","Hoe krijg ik mijn regionale arbeidsmarkt in beeld? Hoe maak ik een selectie van potentiële bedrijven? Wat moet ik weten voordat ik een bedrijf benader en hoe kom ik achter de juiste informatie? Hoe benader ik nieuwe werkgevers? Hoe presenteer ik mijn school kort en krachtig? Hoe neem ik weerstanden weg bij werkgevers? Hoe borg en deel ik mijn netwerk en ervaringen? En hoe hou ik mijn professionaliteit met betrekking tot werkgeversbenadering op peil? Gedurende de dag wordt antwoord gegeven op deze en nog veel meer vragen die betrekking hebben op alles wat te maken heeft met werkgeversbenadering. Dit met als doel om werkgeversbenadering en netwerkvorming van de school naar een hoger plan te tillen.","http://www.edunova.nl/training/aanbod-aanmelding/wat-we-nog-meer-doen/",1,0,0
77,"www.inBeeldt.org. ","Veel werkgevers zoeken naar mogelijkheden om ook mensen met een arbeidsbeperking aan het werk of een werkervaringsplek te helpen: inclusief ondernemen heet dit. inBeeldt is de werkgeversdienstverlening van Werkmans, Mind at Work en Stam, drie specialisten op het gebied van de inclusieve arbeidsmarkt. inBeeldt ontzorgt werkgevers bij inclusief ondernemen door het aanbieden van verschillende diensten. Zo kunt u ons inschakelen voor bijvoorbeeld werving en selectie van personeel, coaching en payrolling, maar ook als bedrijfsadviseur, waarbij we u uitgebreid informeren over alle mogelijkheden binnen uw onderneming.","http://www.inbeeldt.org/",1,0,0
78,"ABC Gedrags- en werkhoudingslijst","Dit is een signaleringsinstrument waarmee docenten in het basis- en speciaal basisonderwijs aan de hand van een vragenlijst het gedrag en de werkhouding van leerlingen kunnen meten. Het materiaal bestaat uit een basismap + de hulpboeken op cd-rom met handleiding. Met behulp van de cd-rom kan de ABC-gedragslijst en de ABC-werkhoudingslijst ingevuld worden.","http://methodes.wikiwijsleermiddelenplein.nl/detail-koepel/167811/",0,1,0
79,"ACT en FACT","Assertive Community Treatment (ACT) is een ambulante behandeling van mensen die langdurig zorg nodig hebben. Een multidisciplinair team van hulpverleners met een gedeelde caseload biedt samenhangende hulp op verschillende gebieden zoals wonen of werken. De achterliggende gedachte is dat de kans groter is dat patiënten hun leefwijze veranderen als ze op meerdere terreinen hulp krijgen. Kenmerkend is dat de herstelgerichte behandeling wordt gegeven waar de cliënt die wil krijgen, zo veel mogelijk in de eigen omgeving. Flexible Assertive Community Treatment (FACT) is een in Nederland ontwikkelde variant op ACT voor alle mensen met langdurige of blijvende ernstige psychiatrische aandoeningen buiten het ziekenhuis. FACT heeft tot doel continuïteit te bieden bij het begeleiden, behandelen en ondersteunen van herstel. Patiënten krijgen thuis op hun situatie toegesneden steun om weer mee te doen in de maatschappij op de manier waar ze zich prettig en veilig bij voelen.  ","http://ccaf.nl/wat-is-act/",0,1,0
80,"Activerende Zorg","Activerende Zorgcoaching biedt nieuwe perspectieven aan mensen die op meerdere leefgebieden problemen ervaren en als gevolg daarvan moeilijk tot een structurele dagbesteding komen. Voor een deel van hen is werk voorlopig geen haalbaar doel. Sociale activering/maatschappelijke participatie is het minimale einddoel van deze interventie. Het wenselijke einddoel is overdracht naar een activerings- en /of re-integratietraject of zelfs plaatsing op reguliere arbeid. Voorts staan het stabiliseren van de probleemsituatie en het voorkomen van verdere escalatie door de inzet van zorg-, welzijn- en activeringsinstrumenten. ","http://www.interventiesnaarwerk.nl/interventies/activerende-zorg",0,1,0
81,"All@work","Met de invoering van de Participatiewet verandert er veel voor werkend Nederland. Om van de Participatiewet een succes te maken is een actieve bijdrage van ge- meenten, burgers en werkgevers noodzakelijk. Dat is de essentie van All@Work. Het boek biedt gemeenten, intermediairs en werkgevers concrete handvatten om met de ontwikkeling van de talenten van burgers maatschappelijke en economis- che waarde te realiseren voor alle partijen.","http://samenvoordeklant.nl/praktijk/allwork-de-aanpak-voor-participeren-naar-vermogen",0,1,0
82,"AMN insight beroepsbeeldtest","Om de uitval te beperken is het van belang dat de student een helder beeld heeft van de werkzaamheden die men in het beroep moet uitvoeren. Vaak kan de student wel de leuke kanten van het beroep noemen, maar niet de minder leuke kanten. De beroepsbeeldtest maakt duidelijk of een student het juiste beroepsbeeld heeft en geeft aan of de student gemotiveerd is voor de beroepsactiviteiten. De scores uit de test worden afgezet tegen die van experts uit het beroepsveld en van de opleiding. De test levert concrete gespreksonderwerpen op voor de intake- en begeleidingsgesprekken en is eenvoudig online af te nemen in dezelfde sessie als de Intaketest. Direct na afname zijn de individuele overzichtsrapportages beschikbaar.  ","https://www.amn.nl/onderwijs/mbo/beroepsbeeldtesten-mbo/",0,1,0
83,"AMN insight intake","De Intaketest geeft inzicht in diverse factoren van capaciteiten (b.v. redeneervermogen en ruimtelijk inzicht) en persoonlijkheid (b.v. doorzettingsvermogen en zorgvuldigheid). Daarnaast brengt de Intaketest de extrinsieke factoren in beeld (b.v. vrijetijdsbesteding en thuissituatie). De rapportage geeft een overzichtelijke weergave van de gemeten factoren. Drijfveren, valkuilen en kwaliteiten komen helder en eenduidig in beeld. Er kan worden vastgesteld voor welke competenties de deelnemer meer of minder aanleg heeft en geschikte opleidingen worden in beeld gebracht op basis van de individuele testresultaten.","https://www.amn.nl/onderwijs/mbo/intake-mbo/",0,1,0
84,"AMN insight PTH test - persoonlijkheid houding tevredenheid","Ongeveer 6 tot 8 weken na de start van een opleiding heeft de deelnemer zich meestal een idee gevormd over de opleiding en weet hij of zij duidelijk wat wel en wat niet gewaardeerd wordt. Op dat moment kan de deelnemer een inschatting maken wat wel en niet goed verloopt en waar deze wel en niet tevreden over is. Dat is een goed moment om de PTH- test in te zetten. De test levert waardevolle informatie op om de begeleiding verder vorm te geven. De PTH test geeft inzicht in vragen als: Voelt de deelnemer zich thuis op school? Hoe is de relatie van de deelnemer met zijn of haar klasgenoten of docenten? Kan de deelnemer zich tijdens de les goed concentreren? Heeft de deelnemer thuis voldoende mogelijkheden om huiswerk c.q. opdrachten te maken. Vindt de deelnemer dat hij of zij voldoende begeleiding krijgt?","http://www.toolboxassessment.nl/artikel/amn-insight-pth-test-persoonlijkheid-houding-tevredenheid/",0,1,0
85,"ASL (Attitudeschaal Sociale Limieten)","De ASL meet de attitude van jongeren ten opzichte van sociale limieten (wetten en regels in onze samenleving) en hoe ze met deze limieten omgaan. De test geeft aan of er een risico is op gedragsproblematiek of delinquentie. Ook kan de ASL aangeven waar behandeling voor dergelijke problematiek zich op zou moeten richten, en de resultaten van behandeling zichtbaar maken.De test bestaat uit 28 situatie-omschrijvingen waarbij de proefpersoon aangeeft wat men zou kœnnen doen in zo'n situatie (gekende reacties), wat hij/zij zelf zou doen in zo'n situatie (gewilde reactie) en waarom hij zij dat zou doen (motivatie). ","http://www.nji.nl/nl/Databank/Databank-Instrumenten/Zoek-een-instrument/Attitudeschaal-Sociale-Limieten-(ASL)",0,1,0
86,"Basisopleiding Arbeidstoeleiding ","In de basisopleiding gaat een docent aan de slag met de belangrijkste basisvaardigheden, kennis en competenties die nodig zijn in de  rol als stagebegeleider. Deze basisopleiding duurt drie dagen met drie zelfstudiedagen waarbij het geleerde in de eigen praktijk toegepast gaat worden. De opleiding wordt  afgesloten met een intervisiemiddag. ","http://www.edunova.nl/training/aanbod-aanmelding/basisopleiding-arbeidstoeleiding/",0,1,0
87,"Bemoeizorg in de jeugdgezondheidszorg","Bemoeizorg richt zich op multiprobleemgezinnen met als doel bewerkstelliging van gedeelde zorg en het ontvankelijk worden van gezinnen voor ondersteuning of hulp. JGZ medewerkers nemen zelf initiatief richting gezinnen en in de uitvoering. De begeleiding vindt plaats bij de JGZ of thuis bij het gezin, duurt ongeveer 6 maanden en bestaat uit 5 stappen met subdoelen.","http://www.nji.nl/nl/Databank/Databank-Effectieve-Jeugdinterventies/Bemoeizorg-in-de-jeugdgezondheidszorg",0,1,0
88,"Beoordeling arbeidsvermogen ","Wanneer een persoon een arbeidsbeperking heeft door ziekte of handicap en wil weten hoe hulp verkregen kan worden bij het vinden van werk en of hij/zij recht heeft op een uitkering kan er een Beoordeling arbeidsvermogen aangevraagd worden bij het UWV. Het UWV kan vaststellen of iemand in aanmerking komt voor de Wajong, het doelgroepregister of toch het wettelijk minimumloon. Zowel de aanvrager als de gemeente krijgen de uitkomst van de beoordeling. ","http://www.uwv.nl/particulieren/arbeidsbeperkt/beoordeling-arbeidsvermogen/index.aspx",0,1,0
89,"Beoordeling Sociaal Aanpassingsvermogen (BSA)","De BSA is een screeningsinstrument waarmee het sociaal aanpassingsvermogen bij jeugdigen (4 t/m 23 jaar) in kaart kan worden gebracht. Met het instrument kunnen hulpverleners globaal beoordelen of iemand een lichte verstandelijke beperking heeft. Er zijn twee versies van de BSA. Een voor kinderen die regulier of speciaal basisonderwijs volgen (BSA-k) en een voor jongeren die het basisonderwijs (BSA-j) hebben afgesloten.","http://www.nji.nl/nl/Databank/Databank-Instrumenten/Zoek-een-instrument/Beoordeling-Sociaal-Aanpassingsvermogen-(BSA)",0,1,0
90,"Beroepen-geschiktheidswijzer","De Beroepen-Geschiktheidswijzer schetst een profiel van tien karaktereigenschappen en doet een uitspraak over het zelfbeeld met betrekking tot deze eigenschappen. Vervolgens wordt op grond van het gevonden karakterprofiel de mate van geschiktheid aangegeven voor dezelfde zestien beroepensectoren als van de Beroepen interessewijzer.","http://www.lcdata.nl/index.php/producten/licentie-vmbo/beroepen-geschiktheidswijzer",0,1,0
91,"Beroepinbeeld.nl","Beroepen in Beeld geeft informatie over alle beroepen op mbo-niveau. Je vindt op deze website filmpjes en beroepsbeschrijvingen, maar ook informatie over de arbeidsmarkt. Er is een speciale website met lesbrieven voor leerlingen om studenten zo goed mogelijk te ondersteunen. Beroepen in Beeld is een website van de Samenwerkingsorganisatie  Beroepsonderwijs Bedrijfsleven (SBB) gemaakt in opdracht van het ministerie van Onderwijs, Cultuur en Wetenschap.","http://www.beroepeninbeeld.nl/",0,1,0
92,"BIT (Beroepen Interesse Test)","Het instrument kan helpen bij de bevestiging van keuzes, bij het afwegen van alternatieven, bij de planning van de persoonlijke ontwikkeling, bij het verruimen van de horizon en bij het begrijpen van ongenoegen over de opleiding, het beroep of de werkomgeving. In 2008 is de handleiding van de BIT volledig herzien met daarin opgenomen een beschrijving van de nieuwe normen. Het antwoordformulier voor afname via de pen-en-papiermethode is verbeterd en nu op A3 formaat.","http://www.pearsonclinical.nl/bit-2008-beroepen-interesse-test",0,1,0
93,"Blik op jong talent","Blik op jong talent is geen beroepskeuzetest die een beroep oplevert waar de jongere vaak niets mee kan, maar maakt de speler duidelijk wat hij leuk vindt en waar hij goed in is. Daarmee kunnen jongeren bewust een richting kiezen die bij hen past. De vragen uit het spel zijn opgesteld voor een brede groep jongeren, van vmbo-leerlingen tot hbo/wo studenten, van 14 tot 20 jaar. Ze gaan op zoek naar antwoorden op vragen als: Wat past bij mij? Wat kan ik? Wat vind ik leuk? Dit kaartspel laat leerlingen nadenken over vragen als: Teken de plattegrond van je kamer en vertel hoe jij je kamer hebt ingericht. Bespreek met je medespelers wat de inrichting van jouw kamer over jou zegt. Of je tante heeft een oude boerderij gekocht en de familie helpt haar met opknappen. Wat ga jij doen? Waar ben jij goed in? of Welk vakantiebaantje zou het beste bij me passen? Waarom?","http://www.blikopjongtalent.nl/",0,1,0
94,"Blikopener","Leerlingen gaan op een speelse manier aan de slag met maatschappelijke vragen en problemen. Blikopener maakt gebruik van echte bronnen en gebeurtenissen. Door deze aanpak worden leerlingen uitgedaagd zich in te leven en vanuit verschillende invalshoeken naar iets te kijken. Ze nemen standpunten in en leren hun mening te onderbouwen","http://www.malmberg.nl/Voortgezet-onderwijs/Methodes/Mens-Maatschappij/maatschappijleer/Blikopener-vmbo-bovenbouw/Over-Blikopener.htm",0,1,0
95,"Boris Docenttraining: Training loopbaanoriëntatie","Met een goede loopbaanoriëntatie krijgen leerlingen inzicht in de eigen talenten en interesses en hebben zij een juist beeld van een beroep voordat zij een beroepskeuze maken. Een belangrijk uitgangspunt in de Boris-systematiek is de koppeling van de beroepskeuze aan de kansen op de regionale arbeidsmarkt. Tijdens de workshop wordt aandacht besteed aan het verschil tussen 'wensbaan' en 'kansbaan' voor de leerling. Daarnaast krijgt de docent zicht op een aantal ondersteunende instrumenten die ingezet kunnen worden om een goede loopbaanoriëntatie vorm te geven.","http://www.borisbaan.nl/Training_loopbaanoriëntatie.html",0,1,0
96,"Brug naar werk ","Brug naar Werk is een training speciaal ontwikkeld voor mensen met een arbeidsbeperking die graag goed voorbereid aan het werk willen of die al aan het werk zijn en extra ondersteuning wensen om beter te functioneren op de werkplek. Tijdens de training wordt onder meer aandacht besteed aan sociale vaardigheden, arbeidshouding en lichamelijke verzorging. Ook vindt de deelnemer antwoord op de vragen: wie ben ik, wat wil ik graag worden en welk werk past bij mij.","https://trainingbrugnaarwerk.nl/",0,1,0
97,"CBCL (Child Behavior Checklist )","De CBCL is een diagnostisch instrument om probleemgedrag en vaardigheden van kinderen en jeugdigen op gestandaardiseerde wijze te kwantificeren. Er bestaan twee versies: één voor kinderen van 1,5 tot en met 5, en één voor kinderen en jongeren van 6 tot en met 18. De CBCL is vooral geschikt voor ZMOK en psychiatrie en bestaat uit meerdere instrumenten. De meest gebruikte CBCL- vragenlijsten zijn de CBCL -ouderlijst, de TRF (leerkrachtlijst) en de YSR (zelfbeschrijving van de jongere). De CBCL bevat een competentiedeel en een gedragsdeel. Het competentiedeel bestaat uit 20 te scoren vaardigheids- of competentievragen. Het gedragsdeel bevat 118 vragen over gedragsproblemen, emotionele probleem of een combinatie van beide.","http://www.google.nl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0ahUKEwjot5bRsOjLAhUBZA8KHRw9BOEQFggqMAE&url=http%3A%2F%2Fwww.nji.nl%2Fpdf%2FDatabank%2FDatabank-Instrumenten%2FZoek-een-instrument%2FChild-Behavior-Checklist-(CBCL)%3Fhid%3Dpdf&usg=AFQjCNGFPmVWy9aYjsLnaxxF6x0rZWzBMw",0,1,0
98,"CBS-A Competentie-belevingsschaal voor adolescenten","De Competentie Belevingsschaal voor Adolescenten (CBSA) is een zelfrapportage vragenlijst voor 12- tot 18-jarige adolescenten, bedoeld om een indruk te krijgen van de competenties van adolescenten op een aantal specifieke gebieden en van het globaal gevoel van eigenwaarde. Het instrument kan gebruikt worden voor wetenschappelijk onderzoek, bij diagnostisch onderzoek door instellingen voor jeugdhulpverlening en geestelijke gezondheidszorg en bij evaluaties van therapeutische interventies.","http://www.nji.nl/nl/Databank/Databank-Instrumenten/Competentie-Belevingsschaal-voor-Adolescenten--(CBSA)",0,1,0
99,"Cito Studeon","Studeon brengt de studiehouding en sociaal-emotionele ontwikkeling van de leerlingen uit het eerste en tweede leerjaar voortgezet onderwijs in beeld. Studeon is een signaleringsinstrument: een instrument dat eenvoudig is af te nemen bij alle leerlingen om een globaal beeld te krijgen van hun houding en gedrag. Zo wordt  duidelijk of de leerling op specifieke dimensies of in het algemeen begeleiding nodig heeft. De testen Persoonlijkheid en Welbevinden geven een beeld van de sociaal-emotionele ontwikkeling van leerlingen. De testen Studiehouding volgens de leerling en Studiehouding volgens de mentor - brengen het gedrag ten aanzien van studeren in beeld vanuit het gezichtspunt van de leerling of de mentor. ","http://hetkanallemaal.nl/artikel/cito-studeon/",0,1,0
100,"Community empowerment methodiek","De community empowerment methodiek sluit aan bij de werkelijkheid van de doelgroep. De doelgroep zoekt zelf voor hen acceptabele oplossingen van knelpunten. Deze 'bottom-up' benadering vraagt om een andere wijze van benaderen en begeleiden van de doelgroep vanuit de gemeente. En een andere rol van de doelgroep zelf.","https://www.movisie.nl/sites/default/files/alfresco_files/Naar%20het%20hart%20van%20empowerment%20%5BMOV-177839-0.3%5D.pdf",0,1,0
101,"COVA+","De interventie Cognitieve Vaardigheden Plus (CoVa+) is gericht op het aanpassen van cognitieve disfuncties bij justitiabelen met een zwakbegaafd intelligentieniveau, een IQ tussen 65 en 90. De interventie is gericht op gedragsverandering en indien dat niet mogelijk is, door op risicobeheersing, om de kans op herhaling van strafbaar gedrag te voorkomen. Mensen leren eerst te denken en dan te doen.  De training wordt verzorgd door het Leger des Heils. ","https://www.wodc.nl/onderzoeksdatabase/effectevaluatie-van-de-gedragsinterventie-cova.aspx",0,1,0
102,"CVL (Competentievragenlijst)","De Competentievragenlijst (CVL) is bedoeld om een beeld te krijgen van belangrijke gedragscompetenties. De CVL is een lijst met basiscompetenties.","www.noa-vu.nl/?watermark=7e8922e6bb5670749989a498c435d8f0",0,1,0
103,"CVL plus (Competentievragenlijst)","De Competentievragenlijst (CVL) is bedoeld om een beeld te krijgen van belangrijke gedragscompetenties. De CVL+ is een uitgebreidere lijst met meer beroepsspecifieke competenties.","http://hetkanallemaal.nl/artikel/cvl-plus-competentievragenlijst-plus/",0,1,0
104,"Dariuz Works Assessment","Met de Dariuz Works Assessment kan op competentieniveau een betrouwbaar beeld worden verkregen van het functioneren van de medewerker, zowel vanuit de medewerker zelf als vanuit zijn/haar leidinggevende. Daarnaast biedt het inzicht in de belangrijkste arbeidskansen en belemmeringen van de medewerker, de plek op de participatieladder, gedane werkaanpassingen en een inschatting van de loonwaarde en loonkostensubsidie. Door het Assessment periodiek uit te voeren geeft het tevens inzicht in de ontwikkeling van de medewerker, zodat de effectiviteit van ingezette ontwikkelactiviteiten betrouwbaar gemeten kunnen worden en een goed beeld ontstaat van zijn of haar mogelijkheden.","http://www.dariuz.nl/dariuz-works/ontwikkeling-duurzame-plaatsing/dariuz-works-assessment/",0,1,0
105,"De Dariuz Works® Diagnose","De Dariuz Works® Diagnose geeft een verdiepend beeld van de cliënt en zijn / haar ervaren kansen en belemmeringen op belangrijke (leef)gebieden, zoals kwaliteiten, sociale omgeving, motivatie, gezondheid en persoonlijkheid. Daarnaast geeft het informatie over de afstand tot de arbeidsmarkt, trede op de participatieladder en concrete aanbevelingen over welk traject het beste past bij een cliënt. Het kan dan bijvoorbeeld gaan om een leerwerktraject, zorgtraject of psychosociaal traject. ","http://www.dariuz.nl/dariuz-works/intake-matching/dariuz-works-diagnose/",0,1,0
106,"Diagnose instrument/ Melba","Het diagnose instrument kan ingezet worden om mogelijkheden en onmogelijkheden te bepalen van LVB'er. Hierdoor kan problematiek vroegtijdig herkent worden en is het mogelijk een pad uit te stippelen.","http://www.melba.nl/",0,1,0
107,"Directieve Thuisbehandeling (DT)","Directieve Thuisbehandeling is een vorm van Intensieve Pedagogische Thuishulp met name geschikt voor gezinnen met jeugdigen tussen 12 en 18 jaar. Het programma richt zich enerzijds op het aanleren van opvoedings- en onderhandelingsvaardigheden bij de gezinsleden om het probleemgedrag van de jeugdige in te perken of op z'n minst hanteerbaar te maken. Tegelijkertijd richt de behandeling zich op het verbeteren van de onderlinge communicatie tussen de gezinsleden om het probleemoplossend vermogen te vergroten en te kunnen omgaan met het probleemgedrag. De behandeling duurt over het algemeen maximaal zes maanden, de hulpverlener bezoekt het gezin wekelijks een tot anderhalf uur.","http://www.nji.nl/nl/Databank/Databank-Effectieve-Jeugdinterventies/Directieve-Thuisbehandeling-(DT).html",0,1,0
108,"doenwatjekan.nl/ Jobability/ beroepenorientatie","Door een aantal vragen te beantwoorden wordt inzicht gegeven in iemands affiniteiten. De vragen bestaan o.a. uit: wat spreekt jou aan in een beroep? Wat maakt werken leuk? Wat past bij jou?. De beroepenfilmpjes kunnen ook bekeken worden. Verder wordt aangeraden erover te praten met de mentor, stagebegeleider, thuis of met vrienden of vriendinnen. ","https://www.doenwatjekan.nl/index.php/ontdekmenu/wat-vind-ik-leuk",0,1,0
109,"Early intervention methode","Kinderen met het Downsyndroom ontwikkelen zich langzamer dan andere kinderen. Dit geldt voor hun lichamelijke ontwikkeling en voor hun mentale ontwikkeling. Het kan helpen een kind met Downsyndroom van baby af aan actief te stimuleren in zijn ontwikkeling. Dat noemen we early intervention. Om early intervention gestructureerd aan te kunnen pakken, is er het programma 'kleine Stapjes'.Dit programma geeft inzicht in de ontwikkelingsfase waarin een kind zich bevindt. en het geeft inzicht in de volgende stap in de ontwikkeling, waar vervolgens aan gewerkt kan worden. Wanneer je denkt dat de stap te groot is, kun je de stap onderverdelen in 10 kleinere stappen. Dit is om ervoor te zorgen dat het kind altijd een succeservaring heeft.","http://www.zoisdownsyndroom.nl/early-intervention",0,1,0
